index,URL,Title,Author,Year,Topic,Subtopic_1,Subtopic_2,Goal_Primary,Goal_Secondary,User,COVID19,Media Mix,Interactive,Method,Tool,Picture,Link,Picture_name,Context: Online,Context: Offline,Sonification_Art_Blog,Link_to_Sonification_Art_Blog,Link to news,Preview of the sonification on website,Thumbnail Image,Link to explanation,Description
,4000Exoplanets,4000 Exoplanets,SYSTEM Sounds,2019,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/DataViz,,Parameter Mapping,,,https://www.system-sounds.com/exoplanets4k/,4000Exoplanets,,,,,,,,,
,GiantLeaps-Apolloprogramsonification,Giant Leaps - Apollo program sonification,SYSTEM Sounds,2019,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/DataViz,,Parameter Mapping,,,https://www.system-sounds.com/apollo/,GiantLeaps,,,,,,,,,
,TheK2-138Exoplanets,The K2-138 Exoplanets,SYSTEM Sounds,2019,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/DataViz,,Parameter Mapping,,,https://www.system-sounds.com/k2-138/,K2-138,,,,,,,,,
,AnthropoceneinCMajor’,Anthropocene in C Major’,Jamie Perera,2019,Climate Change,,,Art,,General Public,,Yes/DataViz,,Parameter Mapping,,n,https://www.jamieperera.com/climate-data-sonification#AnthropoceneinCMajor,,,Parameter Mapping,,,,,,,
,"Breathe,River","Breathe, River",Sara Bouchard,2019,Life Sciences,Ecology,,Art,Public Engagement,General Public,,Sound,No,Parameter Mapping,,,https://www.sarabouchard.com/works/breathe-river,BreatheRiver,,,,,,,,,
,Orchestar,Orchestar,"Allyson Bieryla, Sóley Hyman (University of Arizona), Daniel Davis (Harvard University), Wanda Diaz Merced",2018,Physical Sciences,Astronomy,Tool,Education,,,,,,Parameter Mapping,1,,http://astrolab.fas.harvard.edu/orchestar.html,Orchestar,,,,,,,,,
,Planethesizer,Planethesizer,Adrián García Riber,2018,Physical Sciences,Astronomy,Tool,Public Engagement,,General Public,,,,Parameter Mapping,1,,https://archive.org/details/PlanethesizerWindows,Planethesizer,,Research Lab,,,,,,,
,WordSound,WordSound,Cristian Vogel/Ekometic,2018,Internet,Social Media,,Public Engagement,,General Public,,,,Model Sonification,1,,https://www.youtube.com/watch?v=g3xJdkkS_OI&t=296s,WordSound,,,,,,,,,
,HearClimateDataTurnedIntoMusic,Hear Climate Data Turned Into Music,Chris Chafe of the Center for Computer Research in Music and Acoustics at Stanford,2018,Climate Change,,,Public Engagement,,Public,,Yex/VIdeo,No,Parameter Mapping,,,https://www.youtube.com/watch?time_continue=26&v=ONuA9HmkF3M&feature=emb_logo,Hear Climate Data Turned Into Music,Player,,,,,Sonifcation is a video,https://www.youtube.com/watch?v=ONuA9HmkF3M&feature=emb_logo,,
,ElectricAcoustic,Electric Acoustic,"Gray Crawford, Shengzhi Wu, Devika Singh, and Dan Lockton",2018,Energy,,,Public Engagement,,,,,,Parameter Mapping,,,http://imaginari.es/electric-acoustic-exploring-energy-as-a-design-material-through-sonic-and-vibration-displays/,Electric Acoustic,,,,,,,,,
,TowerofHanoi,Tower of Hanoi,Phillp Hermans,2018,Gaming,,,Education,,,,,,Parameter Mapping,,,http://philliphermans.com/hanoi/,Tower of Hanoi,,,,,,,,,
,SonificationofDDoSAttacks,Sonification of DDoS Attacks,"Dima Bekerman, Avishay Zawoznik, Johnathan Azaria, Koby Kilimnik",2018,Internet,,,Research,,,,,,Parameter Mapping,,n,https://www.imperva.com/blog/sonification-of-ddos-attacks/,,,,1,,,,,,
,OnTheExtinctionOfASpecies,On The Extinction Of A Species,Falk Morawitz,2018,Life Sciences,Ecology,,Art,,,,,,Parameter Mapping,,n,https://soundcloud.com/falk-morawitz/extinctionshort,,,,,,,,,,
,SonificationofSalmonMigrationintheSnakeRiver,Sonification of Salmon Migration in the Snake River,"Ben Robertson, Dr Middleton, Dr Hegg",2018,Life Sciences,Ecology,,Research,,Domain Experts,,Yes/Video,No,Parameter Mapping,,,https://www.youtube.com/watch?v=bhpHi8TOryY&feature=youtu.be&sf182709908=1,Sonification of Salmon Migration in the Snake River,Player,Research Lab,,,,Sonifcation is a video,https://www.youtube.com/watch?v=bhpHi8TOryY&feature=youtu.be&sf182709908=1,https://www.cell.com/heliyon/fulltext/S2405-8440(17)31718-8,
,WhalesCall,Whales Call,Google AI + NOAA (National Oceanic and Atmospheric Administration),2018,Life Sciences,Zoology,,Research,,Domain Experts,,Don't know,No,Audification,,,https://ai.googleblog.com/2018/10/acoustic-detection-of-humpback-whales.html,Whales Call,,Research Lab,,,https://techcrunch.com/2018/10/29/google-ai-listens-to-15-years-of-sea-bottom-recordings-for-hidden-whale-songs/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAACSuj-fV8Nbs83rOl5fvJG7jrgiJ7laNxxp7_L14O4B93wSzOzg3S_gMEYFupWYd3DB5NePW87_hwTUdDcEC46WlBe_NK02d3UGIOFFpO6wlEtMQ5j2gvEwNqsBlhFXOI7ZaeLWHuAgANiJjWQ5eAWH5FOvJfkAtRkbyQsLI0zou,Cannot listen to the sonification,No,,
,OttawaLoveStories,Ottawa Love Stories,Cassandra Marsillo,2018,Mobility,,,Public Engagement,,,,,,Parameter Mapping,,,https://ottlovestories.wordpress.com/,OttawaLoveStories,,,1,,,,,,
,Commute,Commute,Ludovic Riffault,2018,Mobility,,,Public Engagement,,,,,,Parameter Mapping,,,https://commute.dataveyes.com/,Commute,,,,,,,,,
,AsstreOS,AsstreOS,Yuma ANtoine Decaux,2018,Physical Sciences,Astronomy,,Accessibility,,,,,,Parameter Mapping,,,https://astreos.space/,Astreos,,,,,,,,,
,MarsSoundscape,Mars Soundscape,NASA/Domenico Vicinanza,2018,Physical Sciences,Astronomy,,Public Engagement,,Public,,Yes/Video,No,Parameter Mapping,,,https://www.youtube.com/watch?v=loXhsglsG-w&feature=emb_title,Mars Soundscape,Player,,,,https://arstechnica.com/science/2018/11/the-sounds-of-a-martian-sunrise-inspire-short-musical-composition/,Sonifcation is a video,https://www.youtube.com/watch?v=loXhsglsG-w&feature=emb_title,,
