index,Title,Author,Year,Topic_old,Topic_new,Subtopic #1,Subtopic #2,Goal_old,Goal_new,User,COVID19,Context: Online,Context: Offline,Media_Mix,Interactive,Type,Tool,Picture,Sonification_Art_Blog,Link,Link_to_Sonification_Art_Blog,Preview of the sonification on website,Thumbnail Image,Link to news,Link to explanation,Picture_name
,A4BD - Astronomy for the Blind and the Disabled,University of Patras,2020,,Physical Sciences,Astronomy,,,Inclusivity,,,,,,,Parameter Mapping,1,,,https://www.a4bd.eu/,,,,,,a4bd
,Saturn Ring Sonification,Jeongho Park,2017,,Physical Sciences,Astronomy,,,Data Analysis,,,,,,,Model Sonification,,,1,https://goo.gl/z1ioum,,,,,,SaturnRing
,Adrift (Machine 9),"Cath Le Couteur, Nick Ryan",2016,,Physical Sciences,Astronomy,,,Public Engagement,,,,,,,Parameter Mapping,,,1,http://www.projectadrift.co.uk/,,,,,,Adrift
,Water Viz ,Marty Quinn,2015,,Physical Sciences,Earth Science,,,Research,,,,,,,Parameter Mapping,,,1,https://www.waterviz.org/?page_id=1231,,,,,,Water Viz
,Dolmen,Mario de Vega,2015,,Physical Sciences,Earth Science,,,Public Engagement,,,,,,,Audification,,,1,https://sonicacts.com/portal/mario-de-vega---dolmen,,,,,,Dolmen
,Song of the tides,Levy Lorenzo - Stony Brook University,2010,,Physical Sciences,Earth Science,,,Art,,,,,,,Parameter Mapping,,,1,http://www.math.stonybrook.edu/~tony/tides/venice/ancona3000.html,,,,,,Tides
,EMUSIC,Antonio Menghini and Stefano Pontani,2017,,Physical Sciences,Earth Science,,,Art,,,,,,,Audification,,,1,http://www.emusic.world/,,,,,,EMusic
,Stellar,Francesco Fabris,2015,,Physical Sciences,Earth Science,,,Education,,,,,,,Model Sonification,,,1,http://www.francescofabris.com/?project=stellar-2015,,,,,,Stellar
,World earthquakes,Monoroch,2012,,Physical Sciences,Earth Science,,,Research,,,,,,,Parameter Mapping,,,1,http://monoroch.net/jishin2011/#3,,,,,,Earthquakes
,Chaos Atlantis,Ed Wrzesien,2011,,Physical Sciences,Earth Science,,,Art,,,,,,,Parameter Mapping,,,1,https://soundcloud.com/wrzesien/chaos-atlantis-excerpt,,,,,,ChaosAtlantis
,"Sand, snow, breeze",Tara Rodgers,2008,,Physical Sciences,Earth Science,,,Art,,,,,,,Parameter Mapping,,,1,https://tararodgers.bandcamp.com/album/sand-snow-breeze,,,,,,SandSnowBreeze
