Title,Author,Year,Topic,Goal,User,COVID19,Context: Online,Context: Offline,Media_Mix,Interactive,Type,Picture,Sonification_Art_Blog,Link,Link_to_Sonification_Art_Blog,Preview of the sonification on website,Thumbnail Image,Link to news,Link to explanation,Picture_name
Unemployment rate,Jordan Wirfs-Brock,2020,Economy,Public Engagement,Public,,Radio Streaming,,No,No,Parameter Mapping,,,https://www.marketplace.org/2020/06/24/heres-what-the-crescendo-of-unemployment-sounds-like/,,Sonification is within the podcast episode,No,https://www.marketplace.org/2020/06/24/heres-what-the-crescendo-of-unemployment-sounds-like/,,Unemployment rate
Stock Market Data,Jordan Wirfs-Brock,2020,Finance,Public Engagement,Public,,Radio Streaming,,No,No,Parameter Mapping,,,https://www.marketplace.org/2020/03/31/the-sounds-of-a-volatile-stock-market/,,Sonification is within the podcast episode,No,https://medium.com/cuinfoscience/sounds-of-a-volatile-stock-market-39ba135faa63,,Stock Market Data
DNA Sonification - Sex determining region of the Y (SRY) Human Orangutan,Edward Martin,2020,Biology,Public Engagement,Public,,Player,,Yes/Video,No,Parameter Mapping,,,https://vimeo.com/470163206,,Sonifcation is a video,https://vimeo.com/470163206,,,DNA Sonification - Sex determining region of the Y (SRY) Human Orangutan
Mutual Air,Rosten Woo,2020,Environment,Art,Public,,,Public Venue (interactive installation),Yes/Installation,Yes,Parameter Mapping,,,https://www.youtube.com/watch?v=NCP3KTBY-F0,,You can listen to the sonification in the news' video,No,,,Mutual Air
Air Pollution During Lockdown,Pedro Sarmento,2020,Environment,Data Analysis,,,,,,,Parameter Mapping,,,https://www.youtube.com/watch?v=uO5if7Xgi9M&feature=youtu.be,,,,,,Air Pollution During Lockdown
Hear the Blind Spot,Together! with Kim Albrecht,2020,Social equality,Inclusivity,,,,,,,Parameter Mapping,n,,https://heartheblindspot.org/en/,,,,,,Hear the Blind Spot
COVID19 spreading rates,TULP interactive,2020,Epidemiology,Public Engagement,,1,,,,,Parameter Mapping,,,http://covidspreadingrates.org/,,,,,,COVID19 spreading rates
The Masked Scales: Sonification of COVID19 Lockdown,Artash Nath and Arushi Nath,2020,Transportation,Public Engagement,,1,,,,,Parameter Mapping,,,https://hotpoprobot.com/2020/08/04/we-are-the-global-winners-of-2020-nasa-spaceapps-covid-19-challenge-our-7-years-journey/,,,,,,The Masked Scales - Sonification of COVID19 Lockdown
Coronavirus: How can we imagine the scale of Covid's death toll?,BBC News,2020,Epidemiology,Public Engagement,,1,,,,,Parameter Mapping,,,https://www.bbc.co.uk/news/resources/idt-7464500a-6368-4029-aa41-ab94e0ee09fb,,,,,,Coronavirus - How can we imagine the scale of Covid's death toll
Geminids Meteor Shower,Christian Basl,2020,Astronomy,Public Engagement,,,,,,,Audification,,,https://kinder.wdr.de/radio/kiraka/nachrichten/klicker/geminiden-102.html,,,,,,Geminids Meteor Shower
Sonic Cities,Arianna Salazar Miranda and Dylan Halpern,2020,Urban studies,Public Engagement,,1,,,,,Audification,,,http://senseable.mit.edu/sonic-cities/,,,,,,Sonic Cities
Real-time audio and visual display of the Coronavirus genome,Mark Temple,2020,Biology,Data Analysis,,1,,,,,Parameter Mapping,,,https://coronavirus.dnasonification.org/,,,,,,Real-time audio and visual display of the Coronavirus genome
Sonification of COVID19 data,Romain Vuillemot,2020,Epidemiology,Public Engagement,,1,,,,,Parameter Mapping,,,https://observablehq.com/@romsson/sonification-of-covid-19-data,,,,,,Sonification of COVID-19 data
deathIncrease,Yann Seznec,2020,Epidemiology,Public Engagement,,1,,,,,Parameter Mapping,,,https://www.yannseznec.com/works/deathincrease/,,,,,,deathIncrease
Translating Proteins into sound for designing new proteins,"Markus J. Buehler, MIT",2019,Biology,Scientific Investigation,Domain Experts,,,Research Lab,No,No,Parameter Mapping,,,https://soundcloud.com/user-275864738,,Sonification is on Soundcloud,No,https://news.mit.edu/2019/translating-proteins-music-0626,,Translating Proteins into sound for designing new proteins
Piano Piece,Judy Twet,2019,Climate Change,Public Engagement,Public,,,Public Venue (live performance),No,No,Parameter Mapping,,,https://www.youtube.com/watch?v=eYXxAE5grRQ,,You can listen to the sonification live on TED video,No,,,Piano Piece
Sonification of Hubble Telescope,NASA/Hubble/SYSTEM Sounds (Matt Russo/Andrew Santaguida),2019,Astronomy,Public Engagement,Public,,Player,,Yes/video,No,Parameter Mapping,,,https://www.youtube.com/watch?time_continue=32&v=H-Ci_YwfH04&feature=emb_logo,,Sonifcation is a video,https://www.youtube.com/watch?v=H-Ci_YwfH04&feature=emb_logo,https://www.sciencealert.com/nasa-turned-this-hubble-image-into-strange-haunting-music,,Sonification of Hubble Telescope
Turning the yield curve into," Alan Smith, FT",2019,Finance,Data Analysis,,,,,,,Parameter Mapping,,,https://www.ft.com/content/80269930-40c3-11e9-b896-fe36ec32aece,,,,,,Turning the yield curve into
